Run,Steps,Proximity Advances,Ideal Range Tracking,Near-Collision Events,Heading Consistency
1,500,3843,80,37,26.84
2,500,3618,25,0,37.44
3,500,4368,111,23,22.4
4,93,877,6,0,27.0
5,65,349,30,0,5.45
6,59,527,7,0,6.12
7,500,4038,290,93,21.67
8,385,2977,77,7,30.12
