Run,Steps,Proximity Advances,Ideal Range Tracking,Near-Collision Events,Heading Consistency
1,91,839,0,0,41.54
2,500,4259,253,130,24.04
3,352,2954,79,12,24.77
4,62,238,0,0,23.99
5,295,2486,64,24,18.44
6,140,971,34,14,10.89
7,500,4076,263,110,30.74
8,500,4184,277,109,28.57
9,500,4199,105,23,34.22
10,138,1056,14,9,21.92
11,378,3121,130,10,33.45
12,167,1293,50,37,33.82
13,69,594,23,0,19.91
14,500,3909,125,52,31.08
15,500,4086,147,25,27.08
16,186,1613,95,23,21.89
17,500,4154,79,48,35.26
18,500,3575,32,0,24.25
19,77,617,31,6,24.95
20,257,1865,50,2,19.75
21,416,3451,105,0,39.85
