Run,Steps,Proximity Advances,Ideal Range Tracking,Near-Collision Events,Heading Consistency
1,500,3941,249,108,25.94
2,500,3923,149,47,26.36
3,500,4212,239,62,37.73
4,500,3988,200,51,30.68
5,500,3609,105,49,32.0
