Run,Steps,Proximity Advances,Ideal Range Tracking,Near-Collision Events,Heading Consistency
1,3500,27927,4613,1642,30.59
2,3500,28124,2728,825,30.75
3,3500,28072,3874,1447,29.36
4,3500,28016,4054,1280,28.8
