Run,Steps,Proximity Advances,Ideal Range Tracking,Near-Collision Events,Heading Consistency
1,831,6653,244,142,31.2
2,89,688,0,0,43.41
3,1965,15755,421,95,31.13
4,3500,27775,663,220,31.13
5,3500,27981,852,343,31.38
