Run,Steps,Proximity Advances,Ideal Range Tracking,Near-Collision Events,Heading Consistency
1,72,247,12,0,48.89
2,114,789,12,0,23.16
3,76,685,10,1,14.62
4,891,6962,323,175,29.18
5,242,1999,112,31,54.04
6,161,1274,9,0,35.92
7,123,796,21,0,44.4
8,107,859,0,0,-4.82
9,63,268,53,21,58.04
10,3500,28178,965,269,31.03
11,434,3386,69,47,24.48
12,1962,15598,244,74,28.81
13,60,117,47,24,11.96
14,286,2087,79,43,41.41
15,3500,27910,848,297,29.86
16,3500,28619,909,244,30.92
17,67,517,6,5,18.34
18,408,3233,92,22,38.47
19,81,404,31,0,21.5
20,67,635,0,0,28.32
21,160,1216,59,12,39.67
22,244,1949,65,15,30.52
23,117,1142,49,8,42.72
24,184,1510,18,6,20.68
25,109,913,22,5,21.67
26,3500,28193,621,282,28.51
27,68,410,0,0,45.1
