Run,Steps,Proximity Advances,Ideal Range Tracking,Near-Collision Events,Heading Consistency
1,144,716,156,67,25.31
2,134,502,84,5,49.98
3,135,736,137,49,49.24
4,127,452,114,95,31.04
5,146,473,85,23,42.79
6,135,395,98,41,40.53
7,121,414,53,3,48.63
8,144,401,202,44,3.83
9,156,577,114,38,33.21
10,127,260,131,47,54.02
11,153,453,99,90,19.92
12,132,622,95,25,26.47
13,83,302,43,39,49.42
